Wavelength,Excitation,Emission
300,22.38770871,0
301,21.43920985,0
302,20.52206632,0
303,19.59708395,0
304,18.78184526,0
305,18.08418907,0
306,17.46492122,0
307,16.9945912,0
308,16.59481069,0
309,16.23422435,0
310,15.88931567,0
311,15.59927883,0
312,15.40330799,0
313,15.09759348,0
314,14.8702673,0
315,14.71349063,0
316,14.50968096,0
317,14.21180528,0
318,13.83554127,0
319,13.59253743,0
320,13.23978992,0
321,12.97326958,0
322,12.6048444,0
323,12.33832406,0
324,12.03260955,0
325,11.70337854,0
326,11.4838912,0
327,11.20953202,0
328,10.92733401,0
329,10.4805205,0
330,10.37861566,0
331,10.16696716,0
332,10.11993415,0
333,9.89260798,0
334,9.657442972,0
335,9.579054637,0
336,9.492827467,0
337,9.500666301,0
338,9.398761464,0
339,9.187112958,0
340,9.194951791,0
341,9.093046955,0
342,9.116563455,0
343,9.053852787,0
344,8.959786784,0
345,9.093046955,0
346,9.022497452,0
347,9.06169162,0
348,9.116563455,0
349,9.17143529,0
350,9.17143529,0
351,9.304695461,0
352,9.343889629,0
353,9.594732304,0
354,9.680959473,0
355,9.69663714,0
356,9.89260798,0
357,10.02586815,0
358,10.22967782,0
359,10.32374383,0
360,10.53539233,0
361,10.61378067,0
362,10.80975151,0
363,10.91165635,0
364,11.16249902,0
365,11.34279219,0
366,11.5779572,0
367,11.75825037,0
368,12.04828721,0
369,12.21290272,0
370,12.47158423,0
371,12.63619973,0
372,12.91055891,0
373,13.12220742,0
374,13.34953359,0
375,13.60037626,0
376,13.78850827,0
377,14.03935094,0
378,14.26667712,0
379,14.46264796,0
380,14.76052363,0
381,14.95649447,0
382,15.19165948,0
383,15.25437015,0
384,15.53656816,0
385,15.7090225,0
386,15.91283217,0
387,16.23422435,0
388,16.48506702,0
389,16.57129419,0
390,16.76726503,0
391,17.03378537,0
392,17.19840088,0
393,17.43356589,0
394,17.62953672,0
395,17.8333464,0
396,17.9979619,0
397,18.16257741,0
398,18.35070941,0
399,18.49180842,0
400,18.62506859,0
401,18.75048993,0
402,18.89942777,0
403,18.9542996,0
404,19.07972094,0
405,19.17378694,0
406,19.32272478,0
407,19.40895195,0
408,19.57356745,0
409,19.70682762,0
410,19.85576546,0
411,20.0517363,0
412,20.25554597,0
413,20.46719448,0
414,20.68668182,0
415,20.92184683,0
416,21.18052834,0
417,21.47056518,0
418,21.70573019,0
419,22.0114447,0
420,22.34067571,0
421,22.70126205,0
422,23.0618484,0
423,23.33620757,0
424,23.62624441,0
425,23.97115309,0
426,24.33173944,0
427,24.77855295,0
428,25.22536647,0
429,25.75056832,0
430,26.2130595,0
431,26.74610018,0
432,27.4280787,0
433,28.09437956,0
434,28.81555225,0
435,29.64646861,0
436,30.5557733,0
437,31.39452849,0
438,32.45277103,0
439,33.44830289,0
440,34.57709493,0
441,35.76859763,0
442,36.96010034,0
443,38.30837971,0
444,39.64098142,0
445,41.02845497,0
446,42.50215568,0
447,44.01505056,0
448,45.54362311,0
449,47.15842283,0
450,48.80457788,0
451,50.52912127,0
452,52.18311515,0
453,53.85984166,0
454,55.60868543,0
455,57.32538998,0
456,59.00290037,0
457,60.68041075,0
458,62.39711531,0
459,64.00407619,0
460,65.57968174,0
461,67.05338246,0
462,68.56627734,0
463,69.97726738,0
464,71.30986909,0
465,72.69734264,0
466,73.98291134,0
467,75.17441405,0
468,76.38864937,0
469,77.58093596,0
470,78.76459983,0
471,80.0188132,0
472,81.2103159,0
473,82.45669044,0
474,83.78145332,0
475,85.05134436,2.058704042
476,86.4153014,2.942311599
477,87.81061378,3.825919155
478,89.14321549,4.771480804
479,90.53068903,5.469226082
480,91.88680724,6.538695917
481,93.16453712,7.882388787
482,94.48929999,9.35709933
483,95.7513522,10.92626447
484,96.93501607,12.76051188
485,97.9697421,14.61608775
486,98.8555303,16.17001828
487,99.48263698,18.19622182
488,99.87457866,21.00548446
489,100,24.33272395
490,99.79619033,27.64472882
491,99.23963314,31.13954906
492,98.29897311,35.00914077
493,96.91149957,39.39670932
494,95.03801834,43.66240098
495,92.78043427,47.01401584
496,89.99764835,51.18829982
497,86.83075958,57.98293723
498,83.30328447,63.55880561
499,79.38386768,68.98232785
500,75.11170338,74.55819622
501,70.75331191,79.95124924
502,66.12840009,84.61304083
503,61.49564945,88.75685558
504,56.78451046,92.41316271
505,52.08121032,95.39914686
506,47.42494317,97.7757465
507,42.89409736,99.32967703
508,38.52786705,100
509,34.38896292,99.8781231
510,30.4146743,98.90310786
511,26.77745551,97.50152346
512,23.36756291,95.30773918
513,20.25554597,92.2912858
514,17.42572705,89.06154784
515,14.92513914,85.25289458
516,12.69107157,81.41377209
517,10.76271851,77.36136502
518,9.17143529,73.49177331
519,7.760445246,69.92687386
520,6.670847378,66.36197441
521,5.785059183,63.01035954
522,5.05604766,59.75015235
